Catchment,GAName,Constituent,Units,WA_DOH_Station,StationNum,Date,DateTime,Value
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,2.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,2.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,2.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,7.8
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,2.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,33.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,49.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,2.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,22.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,2.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,6.8
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,17.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,2.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,2.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,17.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,33.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,2.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-06-24,2014-06-24,4.5
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-08-12,2014-08-12,1.8
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-10-17,2014-10-17,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-10-28,2014-10-28,7.8
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-12-09,2014-12-09,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-12-11,2014-12-11,2.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2014-12-18,2014-12-18,4.5
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2015-02-03,2015-02-03,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2015-03-30,2015-03-30,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2015-05-20,2015-05-20,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2015-09-03,2015-09-03,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2015-10-29,2015-10-29,13.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2015-12-16,2015-12-16,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2015-12-17,2015-12-17,4.5
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2016-01-28,2016-01-28,4.5
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2016-04-22,2016-04-22,7.8
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2016-04-29,2016-04-29,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2016-07-05,2016-07-05,1.7
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2016-08-15,2016-08-15,11.0
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2016-10-07,2016-10-07,4.5
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2016-12-15,2016-12-15,4.5
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2016-12-22,2016-12-22,4.5
Barker Creek,Dyes Inlet,Fecal Coliform,cfu/100mL,463.0,463,2017-02-24,2017-02-24,1.7
